feature,bucket,disruption_rate_%
supplier_reliability,"(47.299, 57.0]",41.2
supplier_reliability,"(57.0, 70.2]",29.2
supplier_reliability,"(70.2, 86.0]",18.4
supplier_reliability,"(86.0, 96.7]",16.1
previous_delays,"(-0.001, 4.0]",13.9
previous_delays,"(4.0, 8.0]",31.8
previous_delays,"(8.0, 11.0]",32.4
previous_delays,"(11.0, 14.0]",31.6
average_lead_time,"(1.999, 12.4]",17.0
average_lead_time,"(12.4, 15.4]",23.9
average_lead_time,"(15.4, 18.2]",30.0
average_lead_time,"(18.2, 30.1]",34.6
demand,"(99.999, 1736.0]",26.6
demand,"(1736.0, 2968.0]",26.0
demand,"(2968.0, 5206.0]",25.8
demand,"(5206.0, 60000.0]",26.8
inventory_level,"(81.999, 2228.75]",32.3
inventory_level,"(2228.75, 5029.5]",27.7
inventory_level,"(5029.5, 9499.25]",20.7
inventory_level,"(9499.25, 153150.0]",24.4
weather_risk,"(-0.001, 1.6]",17.6
weather_risk,"(1.6, 2.7]",24.3
weather_risk,"(2.7, 3.9]",26.7
weather_risk,"(3.9, 8.5]",37.5
transportation_risk,"(0.099, 2.2]",13.7
transportation_risk,"(2.2, 3.4]",22.0
transportation_risk,"(3.4, 4.7]",29.3
transportation_risk,"(4.7, 9.1]",41.1
distance,"(49.999, 324.0]",24.5
distance,"(324.0, 533.0]",24.7
distance,"(533.0, 871.5]",25.9
distance,"(871.5, 6711.0]",30.1
supplier_capacity,"(499.999, 4680.25]",26.8
supplier_capacity,"(4680.25, 9253.5]",25.3
supplier_capacity,"(9253.5, 17677.75]",28.3
supplier_capacity,"(17677.75, 253404.0]",24.7
shipment_size,"(107.999, 1542.0]",26.9
shipment_size,"(1542.0, 2812.5]",25.3
shipment_size,"(2812.5, 4822.25]",27.5
shipment_size,"(4822.25, 45562.0]",25.3
historical_disruptions,"(-0.001, 2.0]",16.5
historical_disruptions,"(2.0, 4.0]",22.8
historical_disruptions,"(4.0, 6.0]",36.5
historical_disruptions,"(6.0, 7.0]",44.7
