supplier_id,supplier_reliability,previous_delays,average_lead_time,demand,inventory_level,weather_risk,transportation_risk,distance,supplier_capacity,shipment_size,historical_disruptions,disrupted
SUP-020,78.5,2,12.0,4467,10781,0.6,2.2,377.0,4064,3186,3,0
SUP-029,53.2,7,17.4,2704,6472,1.3,3.6,3727.0,14102,1742,6,1
SUP-033,62.3,8,17.5,2988,10357,2.3,1.2,873.0,6491,1938,7,1
SUP-014,88.6,5,16.3,2910,4527,2.8,4.7,274.0,13412,2265,4,0
SUP-038,70.2,2,20.6,9144,21538,2.7,5.1,730.0,39308,8149,4,1
SUP-039,57.0,3,22.8,13685,12306,0.7,6.0,660.0,26979,12584,4,1
SUP-008,86.7,4,14.9,4117,13374,2.9,3.5,594.0,23870,5486,6,0
SUP-002,68.3,6,16.8,3746,8676,0.5,0.8,108.0,9807,1967,5,0
SUP-008,86.7,4,20.3,1626,2323,0.4,2.5,366.0,5637,1088,6,0
SUP-008,86.7,4,12.7,1866,4983,4.1,2.5,1376.0,10835,1571,6,0
SUP-020,78.5,2,17.9,676,1133,2.8,3.8,398.0,1262,603,3,0
SUP-040,80.5,1,15.6,3016,4069,4.0,5.0,932.0,12620,2993,6,1
SUP-002,68.3,6,17.3,3874,5976,0.9,5.9,799.0,9709,2238,5,0
SUP-027,69.7,11,17.2,1536,1735,6.5,1.1,162.0,8539,1191,0,0
SUP-029,53.2,7,22.8,2091,2829,1.7,2.9,,11566,2739,6,0
SUP-032,96.3,11,10.5,2973,3351,3.0,2.8,298.0,2562,4124,2,0
SUP-037,51.9,0,18.3,738,1861,1.1,0.7,149.0,3219,781,1,0
SUP-020,78.5,2,16.8,3307,1663,1.7,1.1,177.0,9377,3387,3,0
SUP-027,69.7,11,15.9,1125,2298,2.7,1.9,232.0,2258,971,0,0
SUP-005,50.0,9,23.2,5975,8274,0.3,5.6,241.0,21215,6362,6,0
SUP-018,48.4,10,14.0,8578,2819,1.6,2.9,1932.0,38104,6634,0,1
SUP-005,50.0,9,15.1,1965,5879,1.0,5.8,1244.0,1902,2308,6,1
SUP-038,70.2,2,17.2,7470,4064,3.3,5.0,470.0,32681,5877,4,0
SUP-010,68.9,12,19.8,3899,5007,3.1,2.2,271.0,5136,5182,5,1
SUP-015,68.5,13,11.6,1101,980,1.9,3.3,232.0,4503,1345,6,1
SUP-013,79.1,12,15.2,2504,8534,5.0,3.6,756.0,11039,2319,0,0
SUP-006,96.7,10,11.2,1183,2975,4.8,0.6,870.0,5457,1206,4,0
SUP-034,64.6,6,18.6,4959,10241,2.3,2.5,328.0,27691,6554,2,0
SUP-035,69.9,7,20.5,3291,6713,3.7,1.7,996.0,15484,4094,3,0
SUP-036,55.0,8,16.1,613,390,3.8,4.0,691.0,1879,750,5,1
SUP-013,79.1,12,23.1,4218,12809,1.6,1.3,262.0,22645,3635,0,0
SUP-011,64.7,6,20.8,2291,4379,1.5,2.0,465.0,8323,2507,4,0
SUP-030,81.2,10,13.9,1840,2788,3.9,4.9,1010.0,5986,1883,0,0
SUP-026,55.3,11,17.3,2862,3654,1.0,3.7,1530.0,11346,1751,6,0
SUP-013,79.1,12,18.4,100,256,0.6,2.4,273.0,500,130,0,0
SUP-012,94.1,12,19.0,1403,2322,3.9,5.4,244.0,5359,1165,4,1
SUP-038,70.2,2,16.3,1744,369,3.4,4.2,899.0,1962,1043,4,0
SUP-024,92.3,0,17.3,938,2605,1.8,2.6,590.0,4518,1203,3,0
SUP-012,94.1,12,15.0,344,1127,2.7,2.7,541.0,1736,271,4,1
SUP-002,68.3,6,20.8,5278,6442,1.1,1.2,421.0,4397,7123,5,0
SUP-011,64.7,6,17.2,5950,19223,3.7,7.4,523.0,27445,7284,4,1
SUP-024,92.3,0,11.7,3518,6091,2.9,4.8,569.0,8166,3405,3,0
SUP-011,64.7,6,18.9,1011,2967,3.6,5.2,274.0,3244,951,4,1
SUP-034,64.6,6,11.4,9961,30283,1.2,6.0,278.0,8513,8889,2,0
SUP-040,80.5,1,9.2,3614,6948,3.4,3.7,794.0,5604,1989,6,0
SUP-005,50.0,9,22.0,2010,1792,6.3,1.6,333.0,8891,1783,6,0
SUP-028,47.3,9,21.4,12271,30758,3.5,7.5,2032.0,27685,11870,1,0
SUP-027,69.7,11,10.1,6775,21816,0.2,2.8,802.0,31588,7573,0,0
SUP-025,86.3,11,13.8,2586,2981,1.0,4.0,792.0,13618,1766,7,0
SUP-032,96.3,11,15.2,1583,527,3.9,1.6,370.0,4799,1438,2,0
SUP-027,69.7,11,12.2,990,1556,1.0,5.8,208.0,1156,1123,0,0
SUP-013,79.1,12,14.4,762,1703,4.3,1.1,83.0,2758,494,0,0
SUP-034,64.6,6,15.8,2893,5322,3.8,2.5,3672.0,11091,3101,2,0
SUP-021,85.2,12,12.8,2100,6664,2.8,3.7,399.0,8121,1754,7,0
SUP-024,92.3,0,15.8,1869,4938,3.9,5.0,281.0,4723,2324,3,0
SUP-038,70.2,2,9.6,4608,12298,1.1,4.4,1650.0,16436,3794,4,0
SUP-036,55.0,8,25.0,4541,11065,2.2,6.1,343.0,15770,3204,5,1
SUP-001,86.0,14,16.1,2349,1936,4.9,2.3,350.0,9601,2740,3,0
SUP-013,79.1,12,15.7,4494,8444,1.3,3.8,235.0,26431,4991,0,0
SUP-001,86.0,14,4.8,715,1308,2.5,2.4,239.0,862,495,3,0
SUP-010,68.9,12,17.1,16980,15970,2.4,5.2,321.0,48209,13019,5,1
SUP-026,55.3,11,10.1,9269,13788,3.3,1.8,325.0,47296,5106,6,0
SUP-010,68.9,12,17.0,4497,11928,1.5,3.1,973.0,11185,6006,5,0
SUP-003,90.5,2,11.4,6653,18066,,6.1,1899.0,13374,4707,5,0
SUP-033,62.3,8,14.0,8908,11061,1.3,1.5,900.0,14939,4514,7,1
SUP-003,90.5,2,17.2,930,2096,0.2,3.6,253.0,2725,1131,5,0
SUP-016,57.0,4,22.8,1892,659,0.9,1.6,741.0,6802,1267,2,1
SUP-008,86.7,4,8.6,4280,13316,0.9,4.5,589.0,17785,5079,6,0
SUP-020,78.5,2,15.0,4885,1061,2.0,2.5,2143.0,9505,3128,3,0
SUP-002,68.3,6,11.0,1347,3627,6.2,4.2,563.0,1443,1560,5,0
SUP-026,55.3,11,23.0,1722,1405,0.2,0.6,290.0,6130,2172,6,1
SUP-039,57.0,3,14.2,1927,2577,5.4,3.0,815.0,1819,1119,4,1
SUP-037,51.9,0,13.6,1353,3308,0.5,1.8,1034.0,3808,1119,1,0
SUP-027,69.7,11,13.8,1189,475,3.4,3.7,1662.0,1003,696,0,1
SUP-015,68.5,13,11.7,926,2129,3.3,4.1,477.0,973,789,6,0
SUP-040,80.5,1,16.2,2450,7904,3.7,5.4,285.0,7393,1436,6,0
SUP-039,57.0,3,17.3,2414,7012,1.1,5.3,207.0,11965,3296,4,0
SUP-001,86.0,14,12.5,8268,5632,5.4,4.1,84.0,44272,4541,3,1
SUP-003,90.5,2,12.2,10140,20145,3.5,2.9,462.0,42101,7696,5,0
SUP-024,92.3,0,13.5,6223,10718,2.7,3.6,352.0,5494,3858,3,0
SUP-011,64.7,6,20.3,3647,6182,4.2,3.4,208.0,6877,3118,4,1
SUP-037,51.9,0,17.9,3277,9297,3.6,3.1,1110.0,19460,2701,1,0
SUP-002,68.3,6,21.5,5481,17940,1.5,1.6,858.0,21713,5248,5,0
SUP-001,86.0,14,10.2,1060,1472,1.1,2.4,123.0,3694,852,3,0
SUP-029,53.2,7,15.3,572,1349,1.7,0.9,272.0,649,347,6,0
SUP-012,94.1,12,12.8,3179,7568,2.4,5.0,1550.0,13671,2913,4,0
SUP-028,47.3,9,20.3,8912,26871,1.7,1.5,554.0,8463,11018,1,0
SUP-015,68.5,13,14.9,2513,2912,,1.4,510.0,6634,2783,6,0
SUP-007,85.3,1,9.9,2449,6011,0.7,1.8,534.0,3325,1474,0,0
SUP-026,55.3,11,8.5,2749,9379,3.7,3.8,226.0,3427,1772,6,0
SUP-012,94.1,12,8.8,2792,1055,3.0,1.9,349.0,16737,3693,4,0
SUP-002,68.3,6,15.8,2439,6813,4.9,1.8,429.0,9452,1441,5,0
SUP-033,62.3,8,22.8,4848,4395,2.2,2.3,351.0,18561,3971,7,1
SUP-032,96.3,11,7.9,1648,3894,5.4,2.8,837.0,6960,2075,2,0
SUP-025,86.3,11,13.6,1330,2618,1.2,4.0,318.0,5854,733,7,1
SUP-014,88.6,5,13.8,2996,8880,2.1,3.7,224.0,9009,2047,4,0
SUP-004,82.0,12,17.5,1186,1902,6.8,8.2,385.0,1277,1528,3,1
SUP-007,85.3,1,13.0,4458,12457,2.6,1.8,1708.0,16928,3377,0,0
SUP-016,57.0,4,7.9,3211,9886,2.3,1.9,683.0,5945,3919,2,0
SUP-023,96.4,12,18.2,2931,10170,2.9,8.5,293.0,2529,2933,2,0
SUP-038,70.2,2,15.2,2241,4935,0.6,4.4,329.0,12205,2837,4,0
SUP-015,68.5,13,10.8,2550,7068,1.3,3.0,320.0,10348,2223,6,0
SUP-016,57.0,4,13.4,7538,3312,4.6,2.5,185.0,6978,6911,2,0
SUP-006,96.7,10,10.2,12016,40361,3.5,5.6,479.0,16131,7988,4,0
SUP-001,86.0,14,11.1,7085,18141,3.6,4.2,227.0,38470,7339,3,1
SUP-012,94.1,12,12.7,2819,8559,5.0,4.3,600.0,8826,2118,4,0
SUP-010,68.9,12,12.6,8599,7763,4.5,1.8,219.0,39657,5967,5,0
SUP-023,96.4,12,8.1,2393,3447,2.3,6.6,98.0,12286,1419,2,0
SUP-013,79.1,12,14.5,12066,8556,1.1,3.5,583.0,51610,13106,0,0
SUP-010,68.9,12,15.3,13082,17473,5.7,2.6,417.0,57812,14317,5,0
SUP-023,96.4,12,11.3,1937,492,5.4,3.2,1134.0,6318,1255,2,0
SUP-023,96.4,12,9.9,3744,8228,3.1,3.5,1032.0,6068,2835,2,0
SUP-006,96.7,10,11.1,1415,4679,,0.7,426.0,5483,1931,4,0
SUP-015,68.5,13,10.0,9079,29736,1.4,3.5,532.0,53750,5579,6,0
SUP-009,51.8,11,17.6,26980,76051,2.6,1.3,769.0,84618,20296,4,0
SUP-027,69.7,11,14.5,5011,11868,3.4,5.5,640.0,26628,4118,0,0
SUP-032,96.3,11,10.7,10106,33637,6.9,3.4,276.0,48932,8200,2,0
SUP-036,55.0,8,17.6,4548,14727,4.4,3.0,1972.0,26073,3473,5,0
SUP-036,55.0,8,15.8,1540,5023,4.3,1.6,357.0,5511,1327,5,0
SUP-010,68.9,12,21.5,4667,13388,0.7,5.8,134.0,21795,5928,5,0
SUP-008,86.7,4,17.6,1425,4745,1.6,1.5,1181.0,2439,1065,6,0
SUP-013,79.1,12,12.4,6018,2713,4.1,2.1,1276.0,16755,5023,0,1
SUP-018,48.4,10,21.7,1278,1949,3.1,1.8,2762.0,5919,1245,0,0
SUP-035,69.9,7,13.8,1433,2727,2.2,0.8,,3475,782,3,0
SUP-019,88.9,9,17.3,1407,3634,2.1,2.3,264.0,2027,1757,2,1
